Training Media,Test Media,Perplexity
Political Gabfest,The Rubin Report,505.08889143158314
The Alex Jones Show,The Alex Jones Show,502.00000000000244
The Alex Jones Show,Political Gabfest,501.99999999999875
The Alex Jones Show,Pod Save America,504.16260313660916
The Alex Jones Show,The Daily,501.99999999999136
The Alex Jones Show,Human Rights Watch,514.1885982422489
The Alex Jones Show,Louder with Crowder,537.8636378106694
The Daily,The Daily,501.99999999999136
The Daily,Last Week Tonight with John Oliver,512.7512475951506
The Daily,Chapo Trap House,512.298895602056
The Daily,hbomberguy,510.86460477066436
The Daily,H3 Podcast,504.8897630936693
The Daily,Democracy Now!,519.9389668396641
The NPR Politics Podcast,The NPR Politics Podcast,504.9322186495132
The NPR Politics Podcast,Real Time with Bill Maher,505.19636380354115
The NPR Politics Podcast,Secular Talk,509.31040777261023
The NPR Politics Podcast,Human Rights Watch,508.83763241755855
The NPR Politics Podcast,The Joe Rogan Experience,508.28707938692725
The NPR Politics Podcast,Pod Save America,503.21842907769746
